Review,Rating
Item is well packed and fast delivery. Overall is ok and comfortable to seat. But don’t know why there is a scratch/ looks like someone sign on the seat.,5
Item received in good condition.. Fast delivery by seller.. Great service by seller.. Everything seems to be fine.. No damage were found so far.. Tested and so far everything is good.. Feel comfortable..,5
"The materials, seat fabric, PU and the steel are really solid n good quality. Very fast delivery and good service from seller. Plus very easy installation thogh i fixed it the wrong way was able to dismantle n fix it right. Very satisfied with product. Glad i made the right choice!",5
"Good value for money, I like the cushion base thickness 13cm good support to lumbar spine, rollers have stopper. total weight 30kg. superb fast delivery services, today ordered tomorrow reached in good condition. Seller prompt in response to my queries.",5
Material kerusi sangat baik. Packaging dalam keadaan baik. Pemasangan mudah cuma agak berat untuk kendali sorang sorang. Komponen kaki kerusi sangat solid dan heavy duty. Quality kain sangat baik. Armrest boleh pusing2. Kerusi sesuai untuk bilik aircond. Kalau bilik panas boleh pilih yang fabric,5
"One of the best product I ever purchased. Materials are made up of leather, textile and baldu. Very comfortable. Maybe not suitable for somebody 150cm, as your leg cant reach lantai. Tilt angle is great, not easily topple as the legs are besi padu",5
Aku pasang seorangg je hari itu. Berat gila hahahah. Nasihat aku sesiapa yg psg sendiri sila lah pasang dekat tepi katil or sandar pada kerusi yang lain. Senang nak skru2 kan nanti. Btw seller bungkus memang tiptop. Thanks!,5
"Good quality product, fast delivery, excellent service by sellers.. im waiting for my free gift star wars lumber since its pre order item.",5
Beli pada hari jualan 11/11 dengan harga yang berpatutan dapat sekali hadiah percuma lumbar pillow (Captain America) dan juga gaming chair floorpad (Marvel). Kerusi berfungsi dengan baik dan amat selesa untuk duduk bekerja mahupun berehat.,5
"My height 163cm weight 80kg I like this chair so much,lembut tebal selesa dan the size is good for me. Siap boleh duduk bersila Seller guide which model yg sesuai untuk saya yang ada isu lower back pain",5
Terbaik...order pagi harini esok tengah hari terus sampai.memang terbaik servis. Mantap kerusi sangat selesa siap boleh bersila memang design power kebabom. Ninla design tt racing yg terbaik memenuhi cita rasa,5
good packing n responsible seller. hv bought a few times. super comfy and suitable for big size people as its wide.,5
"super fast delivery. I requested to add RM10 for extra outer bubble wrap. easy DIY w instruction. this is really the ultimate model for comfort n stability. trust me, I hv bought a few times. the base is metal n wheels r better quality. seller is super friendly in giving advise n response.",5
"Produk amat cantik, elegan dan premium dari materialnya. Penghantaran pantas dan tuntas. Pemasangan mudah tapi perlu masa untuk kekemasannya. Terbaik. Terima kasih.",5
"The built is super solid, let alone the comfort is beyond heaven. Seller was so responsive with my questions and guided me with the right model. Thank you so much for this. Its so comfortable, really!",5
"Order on 7.7 Sale and received on 10.7. Fast delivery. Easy to essamble, the instructions very easy to read. Overall the chair is very comfy.",5
Kerusi ni memang terbaik!! Haritu masa kerusi smpai perasan ada satu cover ni pecah sikit. so dia jdi loose bila pasang. dah contact seller & seller sgt bagus & sangat membantu. seller janji utk gantikan cover tu tp mkn masa 1 ke 2 bulan.. tup2 tak smpai seminggu dah dpt cover baru.. terbaik!,5
Most impressive office chair I’ve ever bought. It is worth every RM spent. Very comfortable even if you’re >100kg. Each wheel comes with its own stopper & can easily roll on carpets. Seller also very helpful after sales ??,5
"Puas Hati berurusan dengan seller ini. Banyak membantu. Penghantaran sepantas kilat. QC tiptop. Recommended kepada sesiapa yang sedang atau teringin mencari gaming chair, saya syorkan TT RACING daripada seller ini. ???????????????????? TQ",5
Line clear. Delivery cepat. Handling bagus. Senang pasang. But i don't like its pillow. Have to put lower for head rest meaning maximum pull for the rubber band. Dont know how long the rubber band can sustain. Overall i am satisfied with maxx. My 3rd ttracing chair on top of Swiftx2020&surge.,5
"Awesome product! Worth the hype and worth money spent! I lose my back ache, no more shrimpy posture. No squeaky problems as reviewer said it does. Try it yourself… best part is.. excellent service by their team! Just ping them so fast response! ??????",5
The seller is responding our message very fast and politely. Delivery is fast as we could received it within 2 working days. The goods receiving in good conditions. The chairs is comfortable to sit and it looks stylish as well. My hubby loves it!,5
"kerusi marvel, awesome, dapat free gift, pakcik suka, barang baik takder calar balar mcm orang lain komen, pemasangan 2 jam, berat kerusi ni, pakcik yang berat pon steady ja duduk, tak bunyi kruk krik, penghantaran - beli jumaat dapat senin,, ok la.. tq seller ,",5
Kerusi smpai keadaan baik. Bagi berat badan mcm sy 105kg sesuai utk saya rasa empuk and selesa kusyen dia. Saya lanjutkan shopee gerenti utk tengok tahap kefungsian dia namun x mengecewakan. Tq ttracing. Kerusi Gaming chair yg pertama,5
"Sebelum ni beli ironman. Best. Dia punya built memang sturdy. I dah try secretlab, the quality is the same with cheaper price, and design lagi fancy dari secretlab! So, puas hati dengan ironman, saya beli pula venom!",5
"This is a excellent seller, responsibility and service????even i never meet before. 1st time I received some part of broken, seller so fast call me to exchange part of broken, try to solve and settle, i like this after sales service and good responsibility, at here i give 5 ?? support and comeback??",5
Customer service is very2 good..even suggest which model to get base on ur requirement..recommended seller..very fast service..parcel arrive in 2 days after order..,5
"Dapat 2 item through 2 separate shipments. Tak tahu kenapa tapi nasib seller responsive explain semuanya. The chair on its own is very good - mmg padan la dgn harga. Instruction sheet very clear, all you need to install the chair is in the box. wish I had the other wheel set than this one tho LOL ??",5
"Responsive seller, easy to reach. Delivery arrangement done the next day of order and item delivered just another day after. Very high quality chair worth the price. Seller also provided invoice upon request. Great purchase!",5
Puas hati Seller post dengan cepat Dan kerusi senang pasang Harap dapat bertahan lama Kerusi selesa duduk lepas berjam² duduk,5
"Overall good quality, and quite good response/service from seller",5
"Received well with good packaging and fast delivery. Consider i better with the price for sure. I did like for additional upgrade such as tyres (it's make extra comfort), hope will have for arm sit, plushie and etc. ??????????",5
"The package protection from this vendor is surpub, solid carton, every parts either wraps with bubble wrap or PE foam, product safely arrived.",5
Amat berpuas hati dengan servis penjual ini. Penghataran cepat dan pantas. Barang diterima dalam kondisi yang baik. 5 bintang!,5
"Amazing packaging and delivery team. Got it within 2 days time. The packaging awesome, chair itself you get what it pay. The iron design is nice tho",5
"Easy installment. Very quality material. Very fast and excellent service by seller. Very recommended and trusted ?? I like it very much, thank you so much seller for your service",5
It was a very good product and I got it at an offer price. Customer service was very nice and fast response to settle my,5
Received in good condition except got 1 part missing. But fast respond and action by vendor to ship the missing part. Packaging also in good manner. No defect. Easy to assemble. Really happy with my investment!!,5
"Good chair, but the neck rest doesnt really function as it has velvet edges, so it will always slips. But overall satisfied.",5
"Bahan kain tak sepremium secretlab, tapi mekanisma dan bahan yang digunakan rasa kukuh untuk dipakai. Bagi orang badan besar + tinggi macam aku ni, memang sesuai pakai maxx series dia. Ni kali ke-2 beli untuk rumah sewa, sebelum ni beli untuk rumah sendiri. Memang berbaloi",5
"Very good product, very good quality I like it very much and am very satisfied",5
Thank you seller for the fast delivery but sorry late give rating because dont jave have time! ????,5
"Selepas menunggu hampir 2 bulan, Kerusi ini telah sampai. Gaming chair yang berkualiti, material yang selesa dan tahan lasak. My first gaming chair. I might say May the force be with you!",5
The best gaming chair and this is my first chair what an experience with ttracing the best,5
"This chair is highly recommended to anyone who always works in front of a computer and it is very durable. Before this I have used the Duo V3 type ttracing chair and it has been durable, I have used it for almost 3 years and it is still usable. I'm satisfied and well done ttracing.",5
Barang sampai keadaan baik good gaming chair kualiti pun mantap tq seller for free gift and good service ????????????,5
Well packed..all in good condition. Tq seller,5
"Good quality chair, nice and proper build, stictches and folds are good. The customer service is very responsive too.",5
"kerusi kedua dah sampai. Beli dua kerusi dalam masa seminggu. Terbaik TT Racing. Service baik. Laju reply whatsapp, nak pasang kerusi senang. maxx paduu",5
Overall the chair has good quality. Small defect on the case but seller will replaced a new one.,5
Bagi 4 bintang sbb seller lambat refund..,4
Berbaloi. Part metal cushion leather dah cantik. Part plastik and handle tu sangat kurang kemas. Harga kire agak premium (walau bukan level secret/noble) still hoping for no compromise quality. Maybe boleh introduce new price level yang memang all out version and reduce price yang ini,4
"The crease cant went back to original condition, im wondering its logistic issue or product quality… Overall for a price of 1K, it should have a better quality than what i expect. Acceptable only lah",4
the sew is not so good?a little bit crooked,4
"Got dent and wheel make ringing sound when moving, other than that fast delivery",4
"Overall is good, can feel the luxury. But the armrest(Left) have some product issue. For the right side is good.",4
"Please improve your wrapping for shipment. The box seems has been unbox and seal back, not sure it was done by your team or anyone during the shipment. There was a big hole as shown as the photos and hope there isnt any damage or scratches.",4
Ok lah... just the arm rest rattles a lot...,4
Barang sudah sampai. Tapi free gift tak ada\,4
"overall is ok, only the handle is a bit shaking",4
There is one small part torn at the seat.,4
Good gaming chair,4
Fast delivery. Tq.,4
Its not customer's fault that shipping fee fall short . Talk to shoppee if you felt that you are not charging enough to your customer. But dont hold my order and ask me to top up more money bcoz shipping shortage that set by shopee. they did eventually rectify it. Product and delivery was superb .,3
"A few burn and scratch marks, and bent up box. The fabric and PU leather are acceptable, however it doesn't feel like a premium RM1k chair.",3
